timestamp,temperature,humidity
2026-06-08 13:48:25,25,45
2026-06-08 13:48:26,25,42
2026-06-08 13:48:31,25,42
2026-06-08 13:48:36,25,42
2026-06-08 13:48:42,25,42
2026-06-17 10:29:43,25,54
2026-06-17 10:29:49,25,54
2026-06-17 10:29:54,25,54
2026-06-17 10:29:59,25,54
2026-06-17 10:30:04,25,54
2026-06-17 10:30:10,25,63
2026-06-17 10:30:15,25,81
2026-06-17 10:30:20,26,92
2026-06-17 10:30:25,26,86
2026-06-17 10:30:31,26,70
2026-06-17 10:30:36,27,61
2026-06-17 10:30:41,27,56
2026-06-17 10:30:47,27,53
2026-06-17 10:30:52,27,51
2026-06-17 10:30:57,27,50
2026-06-17 10:31:02,27,50
2026-06-17 10:31:08,27,50
2026-06-17 10:31:13,27,50
2026-06-17 10:31:18,27,50
2026-06-17 10:31:24,27,49
2026-06-17 10:31:29,27,50
2026-06-17 10:31:34,27,50
2026-06-17 10:31:39,27,50
2026-06-17 10:31:45,27,50
2026-06-17 10:31:50,27,50
2026-06-17 10:31:55,27,50
2026-06-17 10:32:00,27,51
2026-06-17 10:32:06,26,51
2026-06-17 10:32:11,26,51
2026-06-17 10:32:16,26,51
2026-06-17 10:32:22,26,51
2026-06-17 10:32:27,26,52
2026-06-17 10:32:32,26,52
2026-06-17 10:32:37,26,52
2026-06-17 10:32:43,26,52
2026-06-17 10:32:48,26,52
2026-06-17 10:32:53,26,52
2026-06-17 10:32:59,26,52
2026-06-17 10:33:04,26,52
2026-06-17 10:33:09,26,53
2026-06-17 10:33:14,26,53
2026-06-17 10:33:20,26,53
2026-06-17 10:33:25,26,53
2026-06-17 10:33:30,26,53
2026-06-17 10:33:35,26,53
2026-06-17 10:33:41,26,53
2026-06-17 10:33:46,26,53
2026-06-17 10:33:51,26,53
2026-06-17 10:33:57,26,53
2026-06-17 10:34:02,26,53
2026-06-17 10:34:07,26,53
2026-06-17 10:34:12,26,53
2026-06-17 10:34:18,26,53
2026-06-17 10:34:23,25,52
2026-06-17 10:34:28,25,53
2026-06-17 10:34:34,25,53
2026-06-17 10:34:39,25,53
2026-06-17 10:34:44,25,53
2026-06-17 10:34:49,25,53
2026-06-17 10:34:55,25,53
2026-06-17 10:35:00,25,53
2026-06-17 10:35:05,25,53
2026-06-17 10:35:11,25,53
2026-06-17 10:35:16,25,53
2026-06-17 10:35:21,25,53
2026-06-17 10:35:26,25,53
2026-06-17 10:35:32,25,53
2026-06-17 10:35:37,25,54
2026-06-17 10:35:42,25,53
2026-06-17 10:35:48,25,53
2026-06-17 10:35:53,25,53
2026-06-17 10:35:58,25,53
2026-06-17 10:36:03,25,54
2026-06-17 10:36:09,25,53
2026-06-17 10:36:14,25,53
2026-06-17 10:36:19,25,53
2026-06-17 10:36:24,25,54
2026-06-17 10:36:30,25,53
2026-06-17 10:36:35,25,54
2026-06-17 10:36:40,25,54
2026-06-17 10:36:46,25,54
2026-06-17 10:36:51,25,54
2026-06-17 10:36:56,25,54
2026-06-17 10:37:01,25,54
2026-06-17 10:37:07,25,54
2026-06-17 10:37:12,25,54
2026-06-17 10:37:17,25,54
2026-06-17 10:37:23,25,54
2026-06-17 10:37:28,25,53
2026-06-17 10:37:33,25,53
2026-06-17 10:37:38,25,54
2026-06-17 10:37:44,25,53
2026-06-17 10:37:49,25,53
2026-06-17 10:37:54,25,53
2026-06-17 10:38:00,25,53
2026-06-17 10:38:05,25,54
2026-06-17 10:38:10,25,53
2026-06-17 10:38:15,25,54
